Number,Offset,Name,Signed,Width,Left,Right,Access,Reset,Description
,,pilot_gain,,32,,,RW,0,
,,rom_data,,8,,,WE,0,
,,step,,32,,,RW,0,
,,stat_cfg,,2,,,RW,0,
,,stat_limit,,32,,,RW,0,
,,stat_min,,8,,,R,0,
,,stat_max,,8,,,R,0,
,,stat_count,,32,,,R,0,
,,filter_cfg,,25,,,WE,0,
,,mux,,4,,,RW,0,
,,enable_preemph,,1,,,RW,0,
,,preemph_b0,,30,,,RW,0,
,,preemph_b1,,30,,,RW,0,
,,preemph_b2,,30,,,RW,0,
,,preemph_a1,,30,,,RW,0,
,,preemph_a2,,30,,,RW,0,
